cidade_match,BAIRRO DO FATO,ano,mes,count
Arapiraca,Manoel Teles,2012,12,1
Arapiraca,Manoel Teles,2013,1,3
Arapiraca,Manoel Teles,2013,2,3
Arapiraca,Manoel Teles,2013,3,2
Arapiraca,Manoel Teles,2013,4,3
Arapiraca,Manoel Teles,2013,5,1
Arapiraca,Manoel Teles,2013,7,1
Arapiraca,Manoel Teles,2013,8,1
Arapiraca,Manoel Teles,2014,4,3
Arapiraca,Manoel Teles,2014,5,1
Arapiraca,Manoel Teles,2014,6,1
Arapiraca,Manoel Teles,2014,7,2
Arapiraca,Manoel Teles,2014,8,2
Arapiraca,Manoel Teles,2014,9,1
Arapiraca,Manoel Teles,2015,3,2
Arapiraca,Manoel Teles,2015,6,1
Arapiraca,Manoel Teles,2015,10,1
Arapiraca,Manoel Teles,2015,11,1
Arapiraca,Manoel Teles,2015,12,1
Arapiraca,Manoel Teles,2016,5,1
Arapiraca,Manoel Teles,2016,6,1
Arapiraca,Manoel Teles,2016,9,2
Arapiraca,Manoel Teles,2016,11,1
Arapiraca,Manoel Teles,2016,12,4
Arapiraca,Manoel Teles,2017,2,2
Arapiraca,Manoel Teles,2017,3,2
Arapiraca,Manoel Teles,2017,4,1
Arapiraca,Manoel Teles,2018,3,1
Arapiraca,Manoel Teles,2018,4,2
Arapiraca,Manoel Teles,2018,5,1
Arapiraca,Manoel Teles,2018,8,2
Arapiraca,Manoel Teles,2018,12,1
Arapiraca,Manoel Teles,2019,9,1
Arapiraca,Manoel Teles,2021,2,2
Arapiraca,Manoel Teles,2021,6,1
Arapiraca,Manoel Teles,2021,9,1
Arapiraca,Manoel Teles,2021,10,1
Arapiraca,Manoel Teles,2021,11,1
Arapiraca,Manoel Teles,2022,6,3
Arapiraca,Manoel Teles,2022,7,2
Arapiraca,Manoel Teles,2022,10,2
Arapiraca,Manoel Teles,2022,11,1
Arapiraca,Manoel Teles,2023,1,1
Arapiraca,Manoel Teles,2023,5,2
Arapiraca,Manoel Teles,2023,6,1
Arapiraca,Manoel Teles,2023,11,2
Arapiraca,Manoel Teles,2024,4,1
Arapiraca,Manoel Teles,2024,6,3
Arapiraca,Manoel Teles,2024,12,1
Arapiraca,Manoel Teles,2025,2,2
Arapiraca,Manoel Teles,2025,12,1
Arapiraca,Manoel Teles,2026,3,1
Arapiraca,Manoel Teles,2026,4,1
Arapiraca,Massaranduba,2013,1,1
Arapiraca,Massaranduba,2015,4,1
Arapiraca,Massaranduba,2018,12,1
Arapiraca,Massaranduba,2019,4,1
Arapiraca,Massaranduba,2019,9,1
Arapiraca,Massaranduba,2019,10,1
Arapiraca,Massaranduba,2020,4,1
Arapiraca,Massaranduba,2020,10,1
Arapiraca,Massaranduba,2020,12,1
Arapiraca,Massaranduba,2022,9,1
Arapiraca,Massaranduba,2022,12,1
Arapiraca,Massaranduba,2023,3,1
Arapiraca,Massaranduba,2023,6,1
Arapiraca,Massaranduba,2023,7,1
Arapiraca,Massaranduba,2023,9,1
Arapiraca,Massaranduba,2024,1,1
Arapiraca,Massaranduba,2025,4,1
Arapiraca,Nova Esperança,2012,10,1
Arapiraca,Nova Esperança,2013,1,1
Arapiraca,Nova Esperança,2013,3,1
Arapiraca,Nova Esperança,2014,1,1
Arapiraca,Nova Esperança,2014,8,1
Arapiraca,Nova Esperança,2015,2,1
Arapiraca,Nova Esperança,2016,4,1
Arapiraca,Nova Esperança,2016,8,1
Arapiraca,Nova Esperança,2018,3,2
Arapiraca,Nova Esperança,2018,4,1
Arapiraca,Nova Esperança,2018,11,1
Arapiraca,Nova Esperança,2021,1,1
Arapiraca,Nova Esperança,2023,3,1
Arapiraca,Nova Esperança,2023,7,1
Arapiraca,Novo Horizonte,2014,6,1
Arapiraca,Novo Horizonte,2018,6,1
Arapiraca,Olho d Água dos Cazuzinhos,2012,5,2
Arapiraca,Olho d Água dos Cazuzinhos,2012,10,2
Arapiraca,Olho d Água dos Cazuzinhos,2012,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2013,1,1
Arapiraca,Olho d Água dos Cazuzinhos,2013,5,1
Arapiraca,Olho d Água dos Cazuzinhos,2014,1,1
Arapiraca,Olho d Água dos Cazuzinhos,2014,5,1
Arapiraca,Olho d Água dos Cazuzinhos,2014,6,2
Arapiraca,Olho d Água dos Cazuzinhos,2014,8,1
Arapiraca,Olho d Água dos Cazuzinhos,2014,9,2
Arapiraca,Olho d Água dos Cazuzinhos,2014,10,1
Arapiraca,Olho d Água dos Cazuzinhos,2015,1,1
Arapiraca,Olho d Água dos Cazuzinhos,2015,2,1
Arapiraca,Olho d Água dos Cazuzinhos,2015,4,1
Arapiraca,Olho d Água dos Cazuzinhos,2015,7,2
Arapiraca,Olho d Água dos Cazuzinhos,2015,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2015,12,2
Arapiraca,Olho d Água dos Cazuzinhos,2016,1,2
Arapiraca,Olho d Água dos Cazuzinhos,2016,2,2
Arapiraca,Olho d Água dos Cazuzinhos,2016,3,3
Arapiraca,Olho d Água dos Cazuzinhos,2016,4,2
Arapiraca,Olho d Água dos Cazuzinhos,2016,5,1
Arapiraca,Olho d Água dos Cazuzinhos,2016,7,2
Arapiraca,Olho d Água dos Cazuzinhos,2016,10,2
Arapiraca,Olho d Água dos Cazuzinhos,2016,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2017,1,1
Arapiraca,Olho d Água dos Cazuzinhos,2017,2,1
Arapiraca,Olho d Água dos Cazuzinhos,2017,3,4
Arapiraca,Olho d Água dos Cazuzinhos,2017,8,3
Arapiraca,Olho d Água dos Cazuzinhos,2017,10,1
Arapiraca,Olho d Água dos Cazuzinhos,2017,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2018,1,2
Arapiraca,Olho d Água dos Cazuzinhos,2018,3,1
Arapiraca,Olho d Água dos Cazuzinhos,2018,4,2
Arapiraca,Olho d Água dos Cazuzinhos,2018,7,2
Arapiraca,Olho d Água dos Cazuzinhos,2019,1,1
Arapiraca,Olho d Água dos Cazuzinhos,2019,10,1
Arapiraca,Olho d Água dos Cazuzinhos,2019,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2020,2,2
Arapiraca,Olho d Água dos Cazuzinhos,2020,4,2
Arapiraca,Olho d Água dos Cazuzinhos,2020,8,1
Arapiraca,Olho d Água dos Cazuzinhos,2020,10,1
Arapiraca,Olho d Água dos Cazuzinhos,2020,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2020,12,3
Arapiraca,Olho d Água dos Cazuzinhos,2021,2,1
Arapiraca,Olho d Água dos Cazuzinhos,2021,3,1
Arapiraca,Olho d Água dos Cazuzinhos,2021,8,1
Arapiraca,Olho d Água dos Cazuzinhos,2021,10,1
Arapiraca,Olho d Água dos Cazuzinhos,2021,11,1
Arapiraca,Olho d Água dos Cazuzinhos,2021,12,1
Arapiraca,Olho d Água dos Cazuzinhos,2022,4,1
Arapiraca,Olho d Água dos Cazuzinhos,2022,6,1
Arapiraca,Olho d Água dos Cazuzinhos,2022,8,1
Arapiraca,Olho d Água dos Cazuzinhos,2022,11,2
Arapiraca,Olho d Água dos Cazuzinhos,2023,4,1
Arapiraca,Olho d Água dos Cazuzinhos,2023,7,1
