cidade_norm,ano,semestre,count
Girau do Ponciano,2014,S2,4
Girau do Ponciano,2015,S1,6
Girau do Ponciano,2015,S2,11
Girau do Ponciano,2016,S1,13
Girau do Ponciano,2016,S2,8
Girau do Ponciano,2017,S1,5
Girau do Ponciano,2017,S2,5
Girau do Ponciano,2018,S1,8
Girau do Ponciano,2018,S2,4
Girau do Ponciano,2019,S1,1
Girau do Ponciano,2019,S2,5
Girau do Ponciano,2020,S1,1
Girau do Ponciano,2020,S2,2
Girau do Ponciano,2021,S1,5
Girau do Ponciano,2021,S2,7
Girau do Ponciano,2022,S1,3
Girau do Ponciano,2022,S2,6
Girau do Ponciano,2023,S1,1
Girau do Ponciano,2023,S2,5
Girau do Ponciano,2024,S1,7
Girau do Ponciano,2024,S2,5
Girau do Ponciano,2025,S1,2
Girau do Ponciano,2025,S2,3
Girau do Ponciano,2026,S1,3
Ibateguara,2012,S1,4
Ibateguara,2012,S2,14
Ibateguara,2013,S1,5
Ibateguara,2013,S2,7
Ibateguara,2014,S1,5
Ibateguara,2014,S2,1
Ibateguara,2015,S1,8
Ibateguara,2015,S2,1
Ibateguara,2016,S1,9
Ibateguara,2016,S2,4
Ibateguara,2017,S1,6
Ibateguara,2017,S2,3
Ibateguara,2018,S1,4
Ibateguara,2018,S2,3
Ibateguara,2019,S1,4
Ibateguara,2019,S2,2
Ibateguara,2020,S1,3
Ibateguara,2020,S2,5
Ibateguara,2021,S1,4
Ibateguara,2021,S2,2
Ibateguara,2022,S2,4
Ibateguara,2023,S1,7
Ibateguara,2023,S2,4
Ibateguara,2024,S1,5
Ibateguara,2024,S2,2
Ibateguara,2025,S1,1
Ibateguara,2025,S2,1
Igaci,2012,S1,4
Igaci,2012,S2,3
Igaci,2013,S1,4
Igaci,2013,S2,6
Igaci,2014,S1,6
Igaci,2014,S2,4
Igaci,2015,S1,5
Igaci,2015,S2,7
Igaci,2016,S1,8
Igaci,2016,S2,7
Igaci,2017,S1,2
Igaci,2017,S2,6
Igaci,2018,S1,7
Igaci,2018,S2,4
Igaci,2019,S1,2
Igaci,2019,S2,2
Igaci,2020,S1,2
Igaci,2020,S2,8
Igaci,2021,S1,2
Igaci,2021,S2,7
Igaci,2022,S1,4
Igaci,2022,S2,7
Igaci,2023,S1,7
Igaci,2023,S2,12
Igaci,2024,S1,7
Igaci,2024,S2,4
Igaci,2025,S1,2
Igaci,2025,S2,7
Igaci,2026,S1,4
Igreja Nova,2012,S1,3
Igreja Nova,2012,S2,3
Igreja Nova,2013,S1,4
Igreja Nova,2013,S2,4
Igreja Nova,2014,S1,3
Igreja Nova,2014,S2,2
Igreja Nova,2015,S1,5
Igreja Nova,2015,S2,2
Igreja Nova,2016,S1,9
Igreja Nova,2016,S2,6
Igreja Nova,2017,S1,3
Igreja Nova,2017,S2,4
Igreja Nova,2018,S1,3
Igreja Nova,2018,S2,3
Igreja Nova,2019,S1,4
Igreja Nova,2019,S2,3
Igreja Nova,2020,S1,4
Igreja Nova,2020,S2,3
Igreja Nova,2021,S1,6
Igreja Nova,2021,S2,2
Igreja Nova,2022,S1,1
Igreja Nova,2023,S1,2
Igreja Nova,2023,S2,4
Igreja Nova,2024,S1,3
Igreja Nova,2024,S2,4
Igreja Nova,2025,S1,4
Igreja Nova,2025,S2,2
Igreja Nova,2026,S1,1
Inhapi,2012,S1,3
Inhapi,2012,S2,5
Inhapi,2013,S1,3
Inhapi,2013,S2,3
Inhapi,2014,S1,7
Inhapi,2014,S2,5
Inhapi,2015,S1,4
Inhapi,2015,S2,1
Inhapi,2016,S1,1
Inhapi,2016,S2,4
Inhapi,2017,S1,3
Inhapi,2017,S2,6
Inhapi,2018,S1,6
Inhapi,2018,S2,3
Inhapi,2019,S1,4
Inhapi,2019,S2,4
Inhapi,2020,S2,3
