cidade_norm,ano,count
Novo Lino,2012,3
Novo Lino,2014,4
Novo Lino,2015,10
Novo Lino,2016,6
Novo Lino,2017,3
Novo Lino,2018,5
Novo Lino,2019,4
Novo Lino,2020,1
Novo Lino,2021,6
Novo Lino,2022,1
Novo Lino,2023,1
Novo Lino,2024,5
Novo Lino,2025,4
Novo Lino,2026,2
Olho d Água Grande,2012,3
Olho d Água Grande,2013,4
Olho d Água Grande,2014,3
Olho d Água Grande,2015,5
Olho d Água Grande,2016,5
Olho d Água Grande,2017,1
Olho d Água Grande,2019,2
Olho d Água Grande,2021,1
Olho d Água Grande,2022,4
Olho d Água Grande,2023,1
Olho d Água Grande,2024,4
Olho d Água das Flores,2012,10
Olho d Água das Flores,2013,10
Olho d Água das Flores,2014,14
Olho d Água das Flores,2015,6
Olho d Água das Flores,2016,10
Olho d Água das Flores,2017,13
Olho d Água das Flores,2018,5
Olho d Água das Flores,2019,9
Olho d Água das Flores,2020,8
Olho d Água das Flores,2021,7
Olho d Água das Flores,2022,9
Olho d Água das Flores,2023,5
Olho d Água das Flores,2024,2
Olho d Água das Flores,2025,4
Olho d Água das Flores,2026,2
Olho d Água do Casado,2012,1
Olho d Água do Casado,2013,3
Olho d Água do Casado,2014,5
Olho d Água do Casado,2015,5
Olho d Água do Casado,2016,6
Olho d Água do Casado,2017,2
Olho d Água do Casado,2018,2
Olho d Água do Casado,2019,2
Olho d Água do Casado,2020,4
Olho d Água do Casado,2021,1
Olho d Água do Casado,2022,2
Olho d Água do Casado,2023,3
Olho d Água do Casado,2024,3
Olho d Água do Casado,2025,1
Olho d Água do Casado,2026,1
Olivença,2012,3
Olivença,2013,2
Olivença,2014,4
Olivença,2015,2
Olivença,2016,1
Olivença,2017,3
Olivença,2018,1
Olivença,2019,1
Olivença,2020,4
Olivença,2021,2
Olivença,2022,3
Olivença,2023,2
Olivença,2024,6
Olivença,2025,3
Ouro Branco,2012,2
Ouro Branco,2013,1
Ouro Branco,2014,3
Ouro Branco,2015,3
Ouro Branco,2016,1
Ouro Branco,2017,1
Ouro Branco,2018,4
Ouro Branco,2020,1
Ouro Branco,2021,4
Ouro Branco,2023,2
Ouro Branco,2024,1
Ouro Branco,2025,1
Ouro Branco,2026,1
Palestina,2012,1
Palestina,2013,1
Palestina,2014,3
Palestina,2015,1
Palestina,2020,1
Palestina,2024,1
Palestina,2025,1
Palestina,2026,1
Palmeira dos Índios,2012,56
Palmeira dos Índios,2013,41
Palmeira dos Índios,2014,38
Palmeira dos Índios,2015,44
